"Bevölkerung - Deutschland",,,
,2022,,
,Bevölkerungsstand,,
,Gesamt,männlich,weiblich
,Anzahl,Anzahl,Anzahl
Deutschland,"84358 845","41559 052","42799 793"
Baden-Württemberg,"11280 257","5595 424","5684 833"
Bayern,"13369 393","6620 203","6749 190"
Berlin,"3755 251","1843 196","1912 055"
Brandenburg,"2573 135","1265 151","1307 984"
Bremen,684864,338233,346631
Hamburg,"1892 122",925616,966506
Hessen,"6391 360","3151 158","3240 202"
Mecklenburg-Vorpommern,"1628 378",799695,828683
Niedersachsen,"8140 242","4009 822","4130 420"
Nordrhein-Westfalen,"18139 116","8890 200","9248 916"
Rheinland-Pfalz,"4159 150","2054 254","2104 896"
Saarland,992666,487101,505565
Sachsen,"4086 152","2010 537","2075 615"
Sachsen-Anhalt,"2186 643","1073 711","1112 932"
Schleswig-Holstein,"2953 270","1443 269","1510 001"
Thüringen,"2126 846","1051 482","1075 364"
Baden-Württemberg,"35747,85"
Bayern,"70541,58"
Berlin,"891,12"
Brandenburg,"29654,37"
Bremen,"419,37"
Hamburg,"755,09"
Hessen,"21115,63"
Mecklenburg-Vorpommern,"23294,90"
Niedersachsen,"47709,86"
Nordrhein-Westfalen,"34112,61"
Rheinland-Pfalz,"19857,97"
Saarland,"2571,52"
Sachsen,"18449,89"
Sachsen-Anhalt,"20464,04"
Schleswig-Holstein,"15804,30"
Thüringen,"16202,39"
Deutschland,"357592,49"
Baden-Württemberg,311
Bayern,187
Berlin,4127
Brandenburg,86
Bremen,1613
Hamburg,2455
Hessen,298
Mecklenburg-Vorpommern,69
Niedersachsen,168
Nordrhein-Westfalen,525
Rheinland-Pfalz,207
Saarland,382
Sachsen,219
Sachsen-Anhalt,106
Schleswig-Holstein,185
Thüringen,130
